01/04/2010 07:16:58,PC-1916,Alyssa.Brenna.Colon@dtaa.com,,,Knowles_Caldwell@lockheedmartin.com,View,38707,
01/04/2010 08:56:25,PC-1916,Alyssa.Brenna.Colon@dtaa.com,,,Haney-Nicolas@hp.com,View,21807,
01/04/2010 09:00:40,PC-1916,Russell.Carl.Harrington@dtaa.com,Ursula.Charde.Marks@dtaa.com,,Alyssa.Brenna.Colon@dtaa.com,Send,32803,
01/04/2010 09:06:27,PC-1916,Alyssa.Brenna.Colon@dtaa.com,,,Gordon-Jocelyn@harris.com,View,42896,
01/04/2010 09:24:53,PC-1916,Alyssa.Brenna.Colon@dtaa.com,,,Whilemina_Estrada@hp.com,View,32683,
01/04/2010 12:30:11,PC-1916,Richard_Romero@juno.com,,,Colon-Alyssa@msn.com,Send,25269,
01/04/2010 13:44:56,PC-1916,Alyssa.Brenna.Colon@dtaa.com,,,Celeste_Castro@hp.com,View,21450,
01/04/2010 13:50:12,PC-1916,Alyssa.Brenna.Colon@dtaa.com,,,Colton.Chadwick.Serrano@dtaa.com,View,29524,
01/04/2010 13:56:04,PC-1916,BEG3414@yahoo.com,,,Colon-Alyssa@msn.com,Send,19546,
01/05/2010 07:48:43,PC-1916,Colon-Alyssa@msn.com,,,Johnson-Lane@juno.com,View,2401278,C:\QK0LME5C.doc(1065471);C:\KWK8UAUL.txt(1224027);C:\LMJ3535\LX8BQU56.doc(90901)
01/05/2010 08:33:36,PC-1916,Hyacinth.Jana.Rivas@dtaa.com,,,Alyssa.Brenna.Colon@dtaa.com,Send,16025,
01/05/2010 08:43:01,PC-1916,Xerxes.Shea.Ryan@dtaa.com;Cade.Chandler.Fletcher@dtaa.com,,,Alyssa.Brenna.Colon@dtaa.com,Send,28295,
01/05/2010 08:56:57,PC-1916,Alyssa.Brenna.Colon@dtaa.com;Marah_K_Moses@raytheon.com,Xerxes.Shea.Ryan@dtaa.com,,Teagan.Adena.Baker@dtaa.com,View,23147,
01/05/2010 09:20:55,PC-1916,Colon-Alyssa@msn.com,,,Johnson-Lane@juno.com,View,2401278,C:\QK0LME5C.doc(1065471);C:\KWK8UAUL.txt(1224027);C:\LMJ3535\LX8BQU56.doc(90901)
01/06/2010 07:30:04,PC-1916,Jonathan.Ishmael.Norris@dtaa.com;Jade.Francesca.Rivers@dtaa.com,Jemima.Isabella.Bray@dtaa.com,,Alyssa.Brenna.Colon@dtaa.com,Send,46011,
01/06/2010 09:50:34,PC-1916,Cade.Chandler.Fletcher@dtaa.com;Kendall.John.Rosales@dtaa.com,,,Alyssa.Brenna.Colon@dtaa.com,Send,37149,
01/06/2010 09:50:50,PC-1916,Priscilla.Emma.Vasquez@dtaa.com;Ursula.Charde.Marks@dtaa.com;Quail.Wilma.Long@dtaa.com;Alyssa.Brenna.Colon@dtaa.com,Branden.Emery.Gates@dtaa.com,,Anastasia.Kirestin.Brennan@dtaa.com,View,39304,
